datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,6,0,0.6,3.196,-60.243,10.3
2020/10/18 17:25:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,8,0,0.9,3.927,-59.775,9.7
2020/10/19 18:05:00,AQUA_M-T,Brasil,RORAIMA,BOA VISTA,Amazonia,8,0,0.6,3.253,-60.68,73.3
2020/10/20 17:10:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,10,0.4,0.7,4.216,-60.359,14.4
2020/10/20 17:15:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,6,0.3,0.4,4.997,-60.128,47.9
2020/10/20 17:10:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,2,1,0.1,1.042,-59.624,236.9
2020/10/20 17:10:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,3,1.1,0.1,1.039,-59.639,44.8
2020/10/20 17:15:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,5,0.3,0.3,4.995,-60.142,20.6
2020/10/20 17:10:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,2,1,0.1,1.041,-59.613,38.2
2020/10/20 17:10:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,1,1.2,0.1,1.105,-59.653,38.8
2020/10/20 17:10:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,2,1,0.1,1.03,-59.622,16.6
2020/10/20 17:10:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,2,1.1,0.1,1.039,-59.628,161.3
2020/10/20 17:10:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,1,1.1,0.1,1.107,-59.638,39.9
2020/10/21 17:55:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,0,0,0.5,2.905,-61.228,25.3
2020/10/21 17:55:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,0,0,0.4,2.907,-61.214,125.7
2020/10/21 17:55:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,9,0,0.8,4.823,-60.18,33.2
2020/10/21 17:55:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,2,0,0.8,4.23,-60.227,17.5
2020/10/22 17:00:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,2,0,0.9,3.932,-59.698,39.7
2020/10/22 17:00:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,2,0,0.1,1.095,-59.62,30.8
2020/10/22 17:00:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,2,0,0.1,1.092,-59.647,156.7
2020/10/22 17:00:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,2,0,0.9,3.936,-59.674,52
2020/10/23 17:45:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,9,0,0.3,4.338,-61.298,15.7
2020/10/23 17:45:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,3,0,1,3.672,-59.913,10.8
2020/10/23 17:45:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,3,0,1,3.575,-59.882,14.5
2020/10/23 17:45:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,8,0,0.3,4.337,-61.308,14.2
2020/10/23 17:45:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,9,0.1,0.3,4.428,-60.789,9.3
2020/10/23 17:45:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,3,0,1,3.574,-59.893,15.4
2020/10/23 17:45:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,3,0,1,3.95,-59.688,16.6
2020/10/23 17:45:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,2,0.7,0.5,2.841,-63.615,11.1
2020/10/23 17:45:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,2,1.4,0.3,2.866,-63.573,61.4
2020/10/23 17:45:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,2,1.6,0.3,2.867,-63.564,9.6
2020/10/25 17:30:00,AQUA_M-T,Brasil,RORAIMA,MUCAJAI,Amazonia,5,0.2,0.6,2.587,-61.318,13.3
2020/10/25 17:30:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,14,0,1,3.656,-60.425,12.7
2020/10/25 17:30:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,5,0,1,3.963,-59.562,9.5
2020/10/25 17:30:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,14,0,1,3.647,-60.424,15.1
2020/10/25 17:30:00,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,10,0.1,0.6,4.001,-61.089,6.3
2020/10/25 17:30:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,15,0.3,0.2,4.337,-60.876,6
2020/10/25 17:30:00,AQUA_M-T,Brasil,RORAIMA,PACARAIMA,Amazonia,9,0,0.5,4.106,-61.195,7.9
2020/10/25 17:30:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,5,0,1,3.618,-59.913,7.6
2020/10/25 17:30:00,AQUA_M-T,Brasil,RORAIMA,UIRAMUTA,Amazonia,15,6,0.2,4.762,-60.151,7.7
2020/10/25 17:30:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,2,0.4,0.6,3.034,-61.099,13.6
2020/10/25 17:30:00,AQUA_M-T,Brasil,RORAIMA,ALTO ALEGRE,Amazonia,4,0.2,0.6,3.087,-61.499,9.2
2020/10/25 17:30:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,16,0,0.7,2.315,-60.14,10.6
2020/10/25 17:30:00,AQUA_M-T,Brasil,RORAIMA,MUCAJAI,Amazonia,5,0.2,0.8,2.413,-60.994,9.5
2020/10/25 17:30:00,AQUA_M-T,Brasil,RORAIMA,BONFIM,Amazonia,14,0,0.8,2.316,-60.131,5.7
2020/10/27 17:20:00,AQUA_M-T,Brasil,RORAIMA,IRACEMA,Amazonia,7,0,0.3,2.273,-61.549,15.4
2020/10/27 17:20:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,2,0.5,0.2,0.815,-59.395,36.4
2020/10/27 17:20:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,3,0.5,0.2,0.73,-59.62,23.2
2020/10/27 17:20:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,3,0.4,0.2,0.978,-59.537,17.9
2020/10/27 17:20:00,AQUA_M-T,Brasil,RORAIMA,CAROEBE,Amazonia,3,0.5,0.2,0.732,-59.609,219.8
2020/10/27 17:20:00,AQUA_M-T,Brasil,RORAIMA,NORMANDIA,Amazonia,13,0,1,4.209,-60.019,5.6
2020/10/27 17:20:00,AQUA_M-T,Brasil,RORAIMA,AMAJARI,Amazonia,17,0.7,0.3,4.208,-61.269,20.6
